"citation","Experimental System","Experimental System Type","interaction","Modification","name","Phenotypes","Qualifications","Score","selected","shared interaction","shared name","Throughput"
"pubmed:20936779","Two-hybrid","physical","interacts-with","","APC (interacts-with) TAF1","","",,"false","interacts-with","APC (interacts-with) TAF1","High Throughput"
"pubmed:20936779","Two-hybrid","physical","interacts-with","","MAX (interacts-with) TAF1","","",,"false","interacts-with","MAX (interacts-with) TAF1","High Throughput"
"pubmed:22939629","Co-fractionation","physical","interacts-with","","MAX (interacts-with) KMT2D","","Denoised score >= 0.75","0.752","false","interacts-with","MAX (interacts-with) KMT2D","High Throughput"
"pubmed:23414517","Two-hybrid|Co-localization","physical","interacts-with","","DYSF (interacts-with) NEB","","assayed using both PLA (proximity ligation assay) and standard co-localization; for the standard co-localization, of the possible strong, medium, weak or no correlation levels associated with tested interaction pairs, this bait-prey pair had a medium correlation",,"false","interacts-with","DYSF (interacts-with) NEB","High Throughput|Low Throughput"
"pubmed:10397770|pubmed:25416956|pubmed:32296183","Reconstituted Complex|Two-hybrid","physical","interacts-with","","KLHL2 (interacts-with) KLHL2","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KLHL2 (interacts-with) KLHL2","Low Throughput|High Throughput"
"pubmed:28514442|pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","CHRM3 (interacts-with) TUBA3C","","BioPlex 2.0 HEK 293T cells CompPASS score = 0.99999923, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.999998762, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.99999923|0.999998762","false","interacts-with","CHRM3 (interacts-with) TUBA3C","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) LARS","","",,"false","interacts-with","TP53 (interacts-with) LARS","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","INF2 (interacts-with) BIRC6","","BioPlex HCT HCT116 cells CompPASS score = 0.855820378, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.855820378","false","interacts-with","INF2 (interacts-with) BIRC6","High Throughput"
"pubmed:11799106|pubmed:15969767|pubmed:30862715|pubmed:32912968","Affinity Capture-Western|Two-hybrid|Reconstituted Complex|Negative Genetic|Affinity Capture-MS|Proximity Label-MS","physical|genetic","interacts-with","","TP53 (interacts-with) NFKBIA","","CRISPR GI screen|Cell Line:  hESC|Experimental Setup: Drug Exposure: Cisplatin CHEBI:27899|GIST: Mono-phenotypic suppressing genetic interaction|KO of hit genes re-sensitizes TP53 KO cells to cisplatin|Library: GeckoV2|Significance Threshold: p<0.01",,"false","interacts-with","TP53 (interacts-with) NFKBIA","Low Throughput|High Throughput"
"pubmed:23414517","Two-hybrid|Co-localization","physical","interacts-with","","DYSF (interacts-with) TTN","","assayed using PLA (proximity ligation assay)",,"false","interacts-with","DYSF (interacts-with) TTN","High Throughput|Low Throughput"
"pubmed:19497860|pubmed:10866689","Affinity Capture-MS|Affinity Capture-Western","physical","interacts-with","","TAL1 (interacts-with) RB1","","ChIP",,"false","interacts-with","TAL1 (interacts-with) RB1","Low Throughput"
"pubmed:23414517","Two-hybrid|Co-localization","physical","interacts-with","","DYSF (interacts-with) FLNC","","assayed using both PLA (proximity ligation assay) and standard co-localization; for the standard co-localization, of the possible strong, medium, weak or no correlation levels associated with tested interaction pairs, this bait-prey pair had a strong correlation",,"false","interacts-with","DYSF (interacts-with) FLNC","High Throughput|Low Throughput"
"pubmed:28514442","Affinity Capture-MS","physical","interacts-with","","TMEM52B (interacts-with) CUEDC1","","BioPlex 2.0 HEK 293T cells CompPASS score = 0.793240916, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.","0.793240916","false","interacts-with","TMEM52B (interacts-with) CUEDC1","High Throughput"
"pubmed:27173435","Affinity Capture-MS","physical","interacts-with","","DENND4A (interacts-with) SRGAP2","","",,"false","interacts-with","DENND4A (interacts-with) SRGAP2","High Throughput"
"pubmed:29659741","Reconstituted Complex","physical","interacts-with","","FMN2 (interacts-with) FMN2","","",,"false","interacts-with","FMN2 (interacts-with) FMN2","Low Throughput"
"pubmed:23414517","Two-hybrid|Co-localization","physical","interacts-with","","DYSF (interacts-with) SAMHD1","","assayed using PLA (proximity ligation assay)",,"false","interacts-with","DYSF (interacts-with) SAMHD1","High Throughput|Low Throughput"
"pubmed:20106982","Co-localization","physical","interacts-with","","E2F1 (interacts-with) E2F1","","ChIP",,"false","interacts-with","E2F1 (interacts-with) E2F1","Low Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","HLA-B (interacts-with) MROH1","","BioPlex HCT HCT116 cells CompPASS score = 0.999739407, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.999739407","false","interacts-with","HLA-B (interacts-with) MROH1","High Throughput"
"pubmed:15989956|pubmed:22552282|pubmed:31570706","Reconstituted Complex|Affinity Capture-Western|Biochemical Activity|Affinity Capture-MS","physical","interacts-with","Ubiquitination","TP53 (interacts-with) HUWE1","","",,"false","interacts-with","TP53 (interacts-with) HUWE1","Low Throughput|High Throughput"
"pubmed:23414517","Two-hybrid","physical","interacts-with","","DYSF (interacts-with) TAF1","","",,"false","interacts-with","DYSF (interacts-with) TAF1","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) WDR3","","",,"false","interacts-with","TP53 (interacts-with) WDR3","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","KRT86 (interacts-with) KRT38","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRT86 (interacts-with) KRT38","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) KPRP","","",,"false","interacts-with","TP53 (interacts-with) KPRP","High Throughput"
"pubmed:24931405|pubmed:32129710","Affinity Capture-Western|Affinity Capture-MS","physical","interacts-with","","Apc2 (interacts-with) APC","","",,"false","interacts-with","Apc2 (interacts-with) APC","Low Throughput|High Throughput"
"pubmed:30462309","Affinity Capture-MS","physical","interacts-with","","MECOM (interacts-with) CSNK2A1","","PRDM3|PRDM3dPR|high confidence interactors have a BDFR</=0.01",,"false","interacts-with","MECOM (interacts-with) CSNK2A1","High Throughput"
"pubmed:27432908|pubmed:28675297","Affinity Capture-MS","physical","interacts-with","","TPTE (interacts-with) TPTE2","","high-confidence candidate interacting protein",,"false","interacts-with","TPTE (interacts-with) TPTE2","High Throughput"
"pubmed:27432908","Affinity Capture-MS","physical","interacts-with","","TPTE (interacts-with) TPTE","","high-confidence candidate interacting protein",,"false","interacts-with","TPTE (interacts-with) TPTE","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","ALDH3B1 (interacts-with) KRTAP5-9","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","ALDH3B1 (interacts-with) KRTAP5-9","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) MYO5B","","",,"false","interacts-with","TP53 (interacts-with) MYO5B","High Throughput"
"pubmed:22939629","Co-fractionation","physical","interacts-with","","ATP6V1A (interacts-with) VCL","","Denoised score >= 0.75","0.818","false","interacts-with","ATP6V1A (interacts-with) VCL","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) DYNC1H1","","",,"false","interacts-with","TP53 (interacts-with) DYNC1H1","High Throughput"
"pubmed:28514442|pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","U2AF2 (interacts-with) SCAF1","","BioPlex 2.0 HEK 293T cells CompPASS score = 0.996482584, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.992752544, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.996482584|0.992752544","false","interacts-with","U2AF2 (interacts-with) SCAF1","High Throughput"
"pubmed:30462309","Affinity Capture-MS","physical","interacts-with","","MECOM (interacts-with) SAMHD1","","PRDM3dPR|high confidence interactors have a BDFR</=0.01",,"false","interacts-with","MECOM (interacts-with) SAMHD1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","INF2 (interacts-with) RGPD8","","BioPlex HCT HCT116 cells CompPASS score = 0.972888747, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.972888747","false","interacts-with","INF2 (interacts-with) RGPD8","High Throughput"
"pubmed:30462309","Affinity Capture-MS","physical","interacts-with","","MECOM (interacts-with) RPS27A","","PRDM3|PRDM3dPR|high confidence interactors have a BDFR</=0.01",,"false","interacts-with","MECOM (interacts-with) RPS27A","High Throughput"
"pubmed:27173435","Affinity Capture-MS","physical","interacts-with","","SRGAP2 (interacts-with) RPTOR","","",,"false","interacts-with","SRGAP2 (interacts-with) RPTOR","High Throughput"
"pubmed:30462309","Affinity Capture-MS","physical","interacts-with","","MECOM (interacts-with) AP2M1","","PRDM3|PRDM3dPR|high confidence interactors have a BDFR</=0.01",,"false","interacts-with","MECOM (interacts-with) AP2M1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","KIR3DL3 (interacts-with) HLA-B","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.90297025, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.90297025","false","interacts-with","KIR3DL3 (interacts-with) HLA-B","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","INF2 (interacts-with) HERC1","","BioPlex HCT HCT116 cells CompPASS score = 0.802971341, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.802971341","false","interacts-with","INF2 (interacts-with) HERC1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","ELFN2 (interacts-with) UBR4","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.827814939, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.827814939","false","interacts-with","ELFN2 (interacts-with) UBR4","High Throughput"
"pubmed:14743216|pubmed:8710854|pubmed:10759890|pubmed:23007157|pubmed:10581243|pubmed:20562859|pubmed:21903422|pubmed:12005438|pubmed:21988832|pubmed:28514442|pubmed:28155233|pubmed:30561431|pubmed:33961781","Affinity Capture-MS|Two-hybrid|Affinity Capture-Western|Reconstituted Complex|Protein-peptide","physical","interacts-with","","TANK (interacts-with) TRAF2","","Flag-tagged TRAF2 was co-immunoprecipitated with Myc-tagged TBK1 only in the presence of HA-tagged TANK suggesting the formation of a TRAF2-TANK-TBK1 ternary complex.  The authors note that a direct interaction between TBK1 and TRAF2 is unlikely.|Exogenous expression of bait|exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG|BioPlex 2.0 HEK 293T cells CompPASS score = 0.999998343, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|Virotrap|BioPlex 3.0 HEK 293T cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.999999998, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",,"false","interacts-with","TANK (interacts-with) TRAF2","High Throughput|Low Throughput"
