"FBS_max","interaction","name","PFC","selected","shared interaction","shared name"
"12.295","has functional association with","TRRAP (has functional association with) RPTOR","0.995","false","has functional association with","TRRAP (has functional association with) RPTOR"
"19.077","has functional association with","RAB7A (has functional association with) ATP6V1A","1.0","false","has functional association with","RAB7A (has functional association with) ATP6V1A"
"10.174","has functional association with","EP400 (has functional association with) BRD4","0.963","false","has functional association with","EP400 (has functional association with) BRD4"
"11.461","has functional association with","PRPF8 (has functional association with) PABPC3","0.99","false","has functional association with","PRPF8 (has functional association with) PABPC3"
"14.408","has functional association with","KRT5 (has functional association with) KRT6B","0.999","false","has functional association with","KRT5 (has functional association with) KRT6B"
"12.062","has functional association with","SLC2A3 (has functional association with) NRAS","0.994","false","has functional association with","SLC2A3 (has functional association with) NRAS"
"12.653","has functional association with","RPTOR (has functional association with) HSP90AB1","0.997","false","has functional association with","RPTOR (has functional association with) HSP90AB1"
"12.079","has functional association with","TRRAP (has functional association with) BRD4","0.994","false","has functional association with","TRRAP (has functional association with) BRD4"
"12.052","has functional association with","YWHAZ (has functional association with) EZR","0.994","false","has functional association with","YWHAZ (has functional association with) EZR"
"14.342","has functional association with","KRT5 (has functional association with) KRT6C","0.999","false","has functional association with","KRT5 (has functional association with) KRT6C"
"13.341","has functional association with","TBP (has functional association with) TRRAP","0.998","false","has functional association with","TBP (has functional association with) TRRAP"
"10.643","has functional association with","RBBP8 (has functional association with) RB1","0.977","false","has functional association with","RBBP8 (has functional association with) RB1"
"10.263","has functional association with","DIS3 (has functional association with) PRPF8","0.966","false","has functional association with","DIS3 (has functional association with) PRPF8"
"15.149","has functional association with","DIS3 (has functional association with) C1D","1.0","false","has functional association with","DIS3 (has functional association with) C1D"
"10.064","has functional association with","DHX35 (has functional association with) PRPF8","0.959","false","has functional association with","DHX35 (has functional association with) PRPF8"
"11.79","has functional association with","RPTOR (has functional association with) PABPC3","0.992","false","has functional association with","RPTOR (has functional association with) PABPC3"
"12.346","has functional association with","PABPC1 (has functional association with) RPTOR","0.996","false","has functional association with","PABPC1 (has functional association with) RPTOR"
"12.097","has functional association with","MYO1C (has functional association with) HSP90AB1","0.994","false","has functional association with","MYO1C (has functional association with) HSP90AB1"
"11.539","has functional association with","YWHAZ (has functional association with) CAD","0.99","false","has functional association with","YWHAZ (has functional association with) CAD"
"10.168","has functional association with","TRRAP (has functional association with) MLLT1","0.963","false","has functional association with","TRRAP (has functional association with) MLLT1"
"11.169","has functional association with","TRRAP (has functional association with) TAF1L","0.986","false","has functional association with","TRRAP (has functional association with) TAF1L"
"11.769","has functional association with","TRRAP (has functional association with) GCN1","0.992","false","has functional association with","TRRAP (has functional association with) GCN1"
"11.122","has functional association with","DIS3 (has functional association with) SF3A3","0.985","false","has functional association with","DIS3 (has functional association with) SF3A3"
"13.613","has functional association with","DIS3 (has functional association with) BMS1","0.999","false","has functional association with","DIS3 (has functional association with) BMS1"
"10.028","has functional association with","UHRF2 (has functional association with) CHD8","0.958","false","has functional association with","UHRF2 (has functional association with) CHD8"
"9.919","has functional association with","DIS3 (has functional association with) GCN1","0.953","false","has functional association with","DIS3 (has functional association with) GCN1"
"14.194","has functional association with","DIS3 (has functional association with) WDR3","0.999","false","has functional association with","DIS3 (has functional association with) WDR3"
"11.268","has functional association with","RAB7A (has functional association with) UBC","0.987","false","has functional association with","RAB7A (has functional association with) UBC"
"13.264","has functional association with","DENND1A (has functional association with) RPTOR","0.998","false","has functional association with","DENND1A (has functional association with) RPTOR"
"11.543","has functional association with","SLC25A5 (has functional association with) NACA2","0.99","false","has functional association with","SLC25A5 (has functional association with) NACA2"
"12.622","has functional association with","TAF1 (has functional association with) BRD4","0.997","false","has functional association with","TAF1 (has functional association with) BRD4"
"12.713","has functional association with","PABPC1 (has functional association with) HSP90AB1","0.997","false","has functional association with","PABPC1 (has functional association with) HSP90AB1"
"15.848","has functional association with","CLIP1 (has functional association with) DYNC1H1","1.0","false","has functional association with","CLIP1 (has functional association with) DYNC1H1"
"21.533","has functional association with","TBP (has functional association with) TAF1","1.0","false","has functional association with","TBP (has functional association with) TAF1"
"10.487","has functional association with","VWF (has functional association with) C3","0.973","false","has functional association with","VWF (has functional association with) C3"
"11.692","has functional association with","HLA-C (has functional association with) HLA-A","0.992","false","has functional association with","HLA-C (has functional association with) HLA-A"
"15.171","has functional association with","VAV1 (has functional association with) DOCK2","1.0","false","has functional association with","VAV1 (has functional association with) DOCK2"
"11.988","has functional association with","TBP (has functional association with) U2AF2","0.994","false","has functional association with","TBP (has functional association with) U2AF2"
"10.893","has functional association with","VAV1 (has functional association with) DOCK8","0.982","false","has functional association with","VAV1 (has functional association with) DOCK8"
"14.045","has functional association with","VAV1 (has functional association with) PTK2B","0.999","false","has functional association with","VAV1 (has functional association with) PTK2B"
"11.276","has functional association with","PTPRN2 (has functional association with) SPTBN4","0.987","false","has functional association with","PTPRN2 (has functional association with) SPTBN4"
"12.85","has functional association with","HLA-C (has functional association with) UBC","0.997","false","has functional association with","HLA-C (has functional association with) UBC"
"12.856","has functional association with","YWHAZ (has functional association with) SLC25A5","0.997","false","has functional association with","YWHAZ (has functional association with) SLC25A5"
"14.317","has functional association with","DDX41 (has functional association with) PRPF8","0.999","false","has functional association with","DDX41 (has functional association with) PRPF8"
"15.131","has functional association with","YWHAZ (has functional association with) HSP90AB1","1.0","false","has functional association with","YWHAZ (has functional association with) HSP90AB1"
"9.906","has functional association with","HLA-C (has functional association with) HLA-DQA2","0.953","false","has functional association with","HLA-C (has functional association with) HLA-DQA2"
"10.585","has functional association with","TBP (has functional association with) BRD4","0.975","false","has functional association with","TBP (has functional association with) BRD4"
"10.499","has functional association with","VAV1 (has functional association with) INPP5D","0.973","false","has functional association with","VAV1 (has functional association with) INPP5D"
"11.117","has functional association with","MTHFD1L (has functional association with) SMC4","0.985","false","has functional association with","MTHFD1L (has functional association with) SMC4"
"10.461","has functional association with","VAV1 (has functional association with) MAP4K1","0.972","false","has functional association with","VAV1 (has functional association with) MAP4K1"
"10.065","has functional association with","DDX41 (has functional association with) SF3A3","0.959","false","has functional association with","DDX41 (has functional association with) SF3A3"
"10.596","has functional association with","CAD (has functional association with) DIS3","0.976","false","has functional association with","CAD (has functional association with) DIS3"
"11.042","has functional association with","BRAF (has functional association with) YWHAZ","0.984","false","has functional association with","BRAF (has functional association with) YWHAZ"
"11.528","has functional association with","PABPC1 (has functional association with) SF3A3","0.99","false","has functional association with","PABPC1 (has functional association with) SF3A3"
"10.646","has functional association with","MTHFD1L (has functional association with) CAD","0.977","false","has functional association with","MTHFD1L (has functional association with) CAD"
"10.065","has functional association with","CHD8 (has functional association with) TAF1","0.959","false","has functional association with","CHD8 (has functional association with) TAF1"
"11.137","has functional association with","FRG1 (has functional association with) SF3A3","0.986","false","has functional association with","FRG1 (has functional association with) SF3A3"
"10.197","has functional association with","SYNGAP1 (has functional association with) PTK2B","0.964","false","has functional association with","SYNGAP1 (has functional association with) PTK2B"
"9.994","has functional association with","SRRM2 (has functional association with) CCNT1","0.956","false","has functional association with","SRRM2 (has functional association with) CCNT1"
"11.083","has functional association with","SRRM2 (has functional association with) BCLAF1","0.985","false","has functional association with","SRRM2 (has functional association with) BCLAF1"
"14.623","has functional association with","SRRM2 (has functional association with) SNRNP200","1.0","false","has functional association with","SRRM2 (has functional association with) SNRNP200"
"13.202","has functional association with","CHD8 (has functional association with) BRD4","0.998","false","has functional association with","CHD8 (has functional association with) BRD4"
"11.313","has functional association with","TBP (has functional association with) TAF1A","0.988","false","has functional association with","TBP (has functional association with) TAF1A"
"10.373","has functional association with","SRRM2 (has functional association with) DDX41","0.97","false","has functional association with","SRRM2 (has functional association with) DDX41"
"12.289","has functional association with","BRD4 (has functional association with) MLLT1","0.995","false","has functional association with","BRD4 (has functional association with) MLLT1"
"10.986","has functional association with","RGPD8 (has functional association with) NUP153","0.983","false","has functional association with","RGPD8 (has functional association with) NUP153"
"10.244","has functional association with","PABPC1 (has functional association with) BMS1","0.966","false","has functional association with","PABPC1 (has functional association with) BMS1"
"18.534","has functional association with","TBP (has functional association with) TAF1L","1.0","false","has functional association with","TBP (has functional association with) TAF1L"
"11.397","has functional association with","SRGAP2 (has functional association with) SYNGAP1","0.989","false","has functional association with","SRGAP2 (has functional association with) SYNGAP1"
"10.745","has functional association with","YWHAZ (has functional association with) NACA2","0.979","false","has functional association with","YWHAZ (has functional association with) NACA2"
"12.004","has functional association with","SRGAP2 (has functional association with) DENND1A","0.994","false","has functional association with","SRGAP2 (has functional association with) DENND1A"
"13.84","has functional association with","SRGAP2 (has functional association with) HERC2","0.999","false","has functional association with","SRGAP2 (has functional association with) HERC2"
"17.306","has functional association with","SRRM2 (has functional association with) PRPF8","1.0","false","has functional association with","SRRM2 (has functional association with) PRPF8"
"12.156","has functional association with","SRGAP2 (has functional association with) YWHAZ","0.995","false","has functional association with","SRGAP2 (has functional association with) YWHAZ"
"10.444","has functional association with","MTHFD1L (has functional association with) ITPR3","0.972","false","has functional association with","MTHFD1L (has functional association with) ITPR3"
"13.725","has functional association with","F8 (has functional association with) VWF","0.999","false","has functional association with","F8 (has functional association with) VWF"
"14.052","has functional association with","SRGAP2 (has functional association with) RPTOR","0.999","false","has functional association with","SRGAP2 (has functional association with) RPTOR"
"10.607","has functional association with","EZR (has functional association with) AHNAK","0.976","false","has functional association with","EZR (has functional association with) AHNAK"
