"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","expression regulates","->","1.0",,"EP300 (FI) FYN","false",,"EP300 (FI) FYN"
"FI","expression regulates","->","1.0",,"NRF1 (FI) RAD21","false",,"NRF1 (FI) RAD21"
"FI","PPrel: inhibition, phosphorylation","-|","1.0",,"ARRB2 (FI) OR2Z1","false",,"ARRB2 (FI) OR2Z1"
"FI","catalyze; complex; input","->","1.0",,"BRCA1 (FI) TP53","false",,"BRCA1 (FI) TP53"
"FI","expression regulated by","<-","1.0",,"CYP21A2 (FI) SP1","false",,"CYP21A2 (FI) SP1"
"FI","catalyzed by; complex; input","<-","1.0",,"EP300 (FI) KMT2D","false",,"EP300 (FI) KMT2D"
"FI","activated by","<-","1.0",,"CTNNB1 (FI) ILK","false",,"CTNNB1 (FI) ILK"
"FI","complex; input","-","1.0",,"HLA-DRB5 (FI) SEC24A","false",,"HLA-DRB5 (FI) SEC24A"
"FI","GErel: expression by","<-","1.0",,"ACADL (FI) RXRB","false",,"ACADL (FI) RXRB"
"FI","expression regulated by","<-","1.0",,"FGFR3 (FI) MYC","false",,"FGFR3 (FI) MYC"
"FI","predicted","-","0.7",,"GRB2 (FI) MAP4K1","false",,"GRB2 (FI) MAP4K1"
"FI","activate; inhibited by","|->","1.0",,"AR (FI) PTK2B","false",,"AR (FI) PTK2B"
"FI","PPrel: activated by; complex; input","<-","1.0",,"KRAS (FI) SYNGAP1","false",,"KRAS (FI) SYNGAP1"
"FI","GErel: expression by","<-","1.0",,"ACADL (FI) RXRA","false",,"ACADL (FI) RXRA"
"FI","predicted","-","0.97",,"ABL1 (FI) JAK1","false",,"ABL1 (FI) JAK1"
"FI","activated by","<-","1.0",,"MYO1C (FI) STRC","false",,"MYO1C (FI) STRC"
"FI","expression regulates","->","1.0",,"ESR1 (FI) TERT","false",,"ESR1 (FI) TERT"
"FI","complex; input","-","1.0",,"CD247 (FI) HLA-A","false",,"CD247 (FI) HLA-A"
"FI","complex; input","-","1.0",,"CD247 (FI) HLA-B","false",,"CD247 (FI) HLA-B"
"FI","PPrel: activated by; activated by; complex; input","<-","1.0",,"GRB2 (FI) IRS1","false",,"GRB2 (FI) IRS1"
"FI","complex; input","-","1.0",,"CCL4 (FI) GNB1","false",,"CCL4 (FI) GNB1"
"FI","complex; input","-","1.0",,"CD247 (FI) HLA-C","false",,"CD247 (FI) HLA-C"
"FI","activate; inhibited by","|->","1.0",,"ESR1 (FI) PPARGC1B","false",,"ESR1 (FI) PPARGC1B"
"FI","predicted","-","0.64",,"APP (FI) RAC1","false",,"APP (FI) RAC1"
"FI","catalyze","->","1.0",,"GALNT1 (FI) MUC12","false",,"GALNT1 (FI) MUC12"
"FI","PPrel: inhibition, phosphorylation","-|","1.0",,"ARRB2 (FI) OR3A3","false",,"ARRB2 (FI) OR3A3"
"FI","predicted","-","0.99",,"HDAC1 (FI) TAL1","false",,"HDAC1 (FI) TAL1"
"FI","PPrel: inhibition, phosphorylation","-|","1.0",,"ARRB2 (FI) OR3A1","false",,"ARRB2 (FI) OR3A1"
"FI","catalyze","->","1.0",,"GALNT1 (FI) MUC6","false",,"GALNT1 (FI) MUC6"
"FI","PPrel: activated by","<-","1.0",,"GNB1 (FI) OR4C13","false",,"GNB1 (FI) OR4C13"
"FI","PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by","-","1.0",,"ADCY5 (FI) GNG13","false",,"ADCY5 (FI) GNG13"
"FI","PPrel: activated by","<-","1.0",,"GNG13 (FI) OR8K1","false",,"GNG13 (FI) OR8K1"
"FI","expression regulates","->","1.0",,"EP300 (FI) PLXND1","false",,"EP300 (FI) PLXND1"
"FI","activate","->","1.0",,"CDK2 (FI) SMAD4","false",,"CDK2 (FI) SMAD4"
"FI","activate","->","1.0",,"CDK2 (FI) SMAD3","false",,"CDK2 (FI) SMAD3"
"FI","PPrel: activated by; complex; input; reaction","<-","1.0",,"MAML3 (FI) NOTCH1","false",,"MAML3 (FI) NOTCH1"
"FI","complex; input","-","1.0",,"IRS1 (FI) JAK1","false",,"IRS1 (FI) JAK1"
"FI","expression regulates","->","1.0",,"EGR1 (FI) STAT1","false",,"EGR1 (FI) STAT1"
"FI","activate","->","1.0",,"RB1 (FI) TAF1","false",,"RB1 (FI) TAF1"
"FI","complex","-","1.0",,"RIPOR2 (FI) USH1C","false",,"RIPOR2 (FI) USH1C"
"FI","predicted","-","0.64",,"MYC (FI) PTK2B","false",,"MYC (FI) PTK2B"
"FI","activate; activated by","<->","1.0",,"FN1 (FI) PRKACA","false",,"FN1 (FI) PRKACA"
"FI","catalyzed by","<-","1.0",,"MYH9 (FI) PAK2","false",,"MYH9 (FI) PAK2"
"FI","catalyzed by","<-","1.0",,"HSP90AA1 (FI) PTK2B","false",,"HSP90AA1 (FI) PTK2B"
"FI","predicted","-","0.64",,"RBM23 (FI) TRIM27","false",,"RBM23 (FI) TRIM27"
"FI","predicted","-","0.64",,"MITF (FI) WNT1","false",,"MITF (FI) WNT1"
"FI","expression regulated by","<-","1.0",,"EGR1 (FI) ZNF263","false",,"EGR1 (FI) ZNF263"
"FI","complex; input","-","1.0",,"CCNT1 (FI) POU2F1","false",,"CCNT1 (FI) POU2F1"
"FI","predicted","-","0.64",,"ARRB2 (FI) NEDD4","false",,"ARRB2 (FI) NEDD4"
"FI","predicted","-","0.97",,"MAPK1 (FI) PAK2","false",,"MAPK1 (FI) PAK2"
"FI","catalyzed by","<-","1.0",,"KRAS (FI) SPTB","false",,"KRAS (FI) SPTB"
"FI","PPrel: activation","->","1.0",,"HTT (FI) ITPR3","false",,"HTT (FI) ITPR3"
"FI","catalyze","->","1.0",,"PRKACA (FI) RAP1GAP2","false",,"PRKACA (FI) RAP1GAP2"
"FI","PPrel: activation","->","1.0",,"HTT (FI) ITPR2","false",,"HTT (FI) ITPR2"
"FI","expression regulated by","<-","1.0",,"HSP90AB1 (FI) JUN","false",,"HSP90AB1 (FI) JUN"
"FI","activated by; inhibite","<-|","1.0",,"MECOM (FI) TP53","false",,"MECOM (FI) TP53"
"FI","PPrel: activated by; complex; input","<-","1.0",,"ITGA2 (FI) LAMA2","false",,"ITGA2 (FI) LAMA2"
"FI","PPrel: activation","->","1.0",,"HTT (FI) ITPR1","false",,"HTT (FI) ITPR1"
"FI","PPrel: activated by; complex; input","<-","1.0",,"ITGA2 (FI) LAMA3","false",,"ITGA2 (FI) LAMA3"
"FI","input","-","1.0",,"PABPC1 (FI) PNRC2","false",,"PABPC1 (FI) PNRC2"
"FI","predicted","-","0.7",,"ARNTL (FI) USP9X","false",,"ARNTL (FI) USP9X"
"FI","predicted","-","0.64",,"CRIPAK (FI) ESR1","false",,"CRIPAK (FI) ESR1"
"FI","catalyze","->","1.0",,"CCNT1 (FI) SMAD3","false",,"CCNT1 (FI) SMAD3"
"FI","catalyze","->","1.0",,"CCNT1 (FI) SMAD4","false",,"CCNT1 (FI) SMAD4"
"FI","complex","-","1.0",,"CSNK1E (FI) DYNC1H1","false",,"CSNK1E (FI) DYNC1H1"
"FI","expression regulates","->","1.0",,"BRCA1 (FI) CCNC","false",,"BRCA1 (FI) CCNC"
"FI","PPrel: inhibition, phosphorylation","-|","1.0",,"ARRB2 (FI) OR2M5","false",,"ARRB2 (FI) OR2M5"
"FI","PPrel: activated by, phosphorylation","<-","1.0",,"FOS (FI) PRKACA","false",,"FOS (FI) PRKACA"
"FI","catalyze","->","1.0",,"ARHGAP4 (FI) RAC1","false",,"ARHGAP4 (FI) RAC1"
"FI","complex","-","1.0",,"BMS1 (FI) WDR3","false",,"BMS1 (FI) WDR3"
"FI","expression regulates","->","1.0",,"GATA2 (FI) ITGA2","false",,"GATA2 (FI) ITGA2"
"FI","expression regulates","->","1.0",,"JUN (FI) MACC1","false",,"JUN (FI) MACC1"
"FI","complex","-","1.0",,"MYO15A (FI) USH1C","false",,"MYO15A (FI) USH1C"
"FI","activate; catalyze","->","1.0",,"CDK2 (FI) TP53","false",,"CDK2 (FI) TP53"
"FI","predicted","-","0.64",,"CAV1 (FI) CTNNB1","false",,"CAV1 (FI) CTNNB1"
"FI","predicted","-","0.64",,"DHX9 (FI) KHDRBS1","false",,"DHX9 (FI) KHDRBS1"
"FI","predicted","-","0.64",,"AKT1 (FI) ITGB1","false",,"AKT1 (FI) ITGB1"
"FI","PPrel: activated by, phosphorylation; PPrel: inhibited by; activated by","-","1.0",,"ITPR1 (FI) PRKACA","false",,"ITPR1 (FI) PRKACA"
"FI","PPrel: activated by, phosphorylation; PPrel: inhibited by; activated by","-","1.0",,"ITPR2 (FI) PRKACA","false",,"ITPR2 (FI) PRKACA"
"FI","PPrel: activated by; PPrel: activated by, phosphorylation; PPrel: inhibited by; activated by","-","1.0",,"ITPR3 (FI) PRKACA","false",,"ITPR3 (FI) PRKACA"
"FI","PPrel: activated by","<-","1.0",,"GNB1 (FI) OR2M5","false",,"GNB1 (FI) OR2M5"
"FI","catalyze; predicted","->","1.0",,"MMS19 (FI) RTEL1","false",,"MMS19 (FI) RTEL1"
"FI","predicted","-","0.64",,"APP (FI) SSTR3","false",,"APP (FI) SSTR3"
"FI","predicted","-","0.64",,"FOXA1 (FI) SMAD3","false",,"FOXA1 (FI) SMAD3"
"FI","expression regulated by","<-","1.0",,"APC (FI) POU2F1","false",,"APC (FI) POU2F1"
"FI","PPrel: activated by","<-","1.0",,"GNG13 (FI) OR1S2","false",,"GNG13 (FI) OR1S2"
"FI","complex; input","-","1.0",,"BRCA1 (FI) NF1","false",,"BRCA1 (FI) NF1"
"FI","predicted","-","0.7",,"GRB2 (FI) KHDRBS1","false",,"GRB2 (FI) KHDRBS1"
"FI","predicted","-","0.64",,"BRCA1 (FI) HDAC1","false",,"BRCA1 (FI) HDAC1"
"FI","predicted","-","0.52",,"BCLAF1 (FI) FUBP1","false",,"BCLAF1 (FI) FUBP1"
"FI","predicted","-","0.64",,"MYH9 (FI) PRKD2","false",,"MYH9 (FI) PRKD2"
"FI","expression regulated by","<-","1.0",,"KHDRBS1 (FI) MAX","false",,"KHDRBS1 (FI) MAX"
"FI","PPrel: activated by","<-","1.0",,"GNG13 (FI) OR2T2","false",,"GNG13 (FI) OR2T2"
"FI","catalyzed by","<-","1.0",,"HLA-DQA2 (FI) PDCD1LG2","false",,"HLA-DQA2 (FI) PDCD1LG2"
"FI","predicted","-","0.64",,"APP (FI) PEG3","false",,"APP (FI) PEG3"
"FI","expression regulated by","<-","1.0",,"APP (FI) CTCF","false",,"APP (FI) CTCF"
"FI","complex; reaction","-","1.0",,"H3C15 (FI) RXRA","false",,"H3C15 (FI) RXRA"
"FI","predicted","-","0.64",,"TP53 (FI) USP29","false",,"TP53 (FI) USP29"
"FI","PPrel: binding/association; complex","-","1.0",,"ACTB (FI) MYO1C","false",,"ACTB (FI) MYO1C"
"FI","predicted","-","0.64",,"ASH1L (FI) MYC","false",,"ASH1L (FI) MYC"
"FI","PPrel: activated by; activated by; catalyzed by; complex; input","<-","1.0",,"CDC42 (FI) FYN","false",,"CDC42 (FI) FYN"
"FI","complex","-","1.0",,"COL14A1 (FI) FN1","false",,"COL14A1 (FI) FN1"
