"citation","Confidence Value","interaction","Interaction Detection Methods","name","Presence In Other Species","Publication 1st Author","selected","shared interaction","shared name","Source Databases"
"pubmed:32807901","0.63","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) KPRP",,"Liu J (2020)","false","interacts-with","TP53 (interacts-with) KPRP",
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","GPR152 (interacts-with) CDS2",,"Luck K (2020)","false","interacts-with","GPR152 (interacts-with) CDS2",
"pubmed:10668806|pubmed:9114010|pubmed:23238392|pubmed:8045926","0.89","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|MI:0051(fluorescence technology)|MI:0055(fluorescent resonance energy transfer)|MI:0040(electron microscopy)|MI:0401(biochemical)","NUP153 (interacts-with) NUP153",,"Bachi A (2000)|Yaseen NR (1997)|Milles S (2012)|Pant?? N (1994)","false","interacts-with","NUP153 (interacts-with) NUP153","MI:0468(hprd)|i2d|MI:0469(intact)|MI:0471(mint)|biogrid"
"pubmed:30194290","0.63","interacts-with","bioid","KRAS (interacts-with) GRK6",,"Adhikari H (2018)","false","interacts-with","KRAS (interacts-with) GRK6",
"pubmed:11585921|pubmed:10669757|pubmed:11425854|pubmed:16713569|pubmed:16738328","0.88","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","NOTCH1 (interacts-with) NOTCH1",,"Wu G (2001)|Rand MD (2000)|Gupta-Rossi N (2001)|Lim J (2006)|Malecki MJ (2006)","false","interacts-with","NOTCH1 (interacts-with) NOTCH1","MI:0468(hprd)|biogrid|i2d|lim06"
"pubmed:28515276","0.7","interacts-with","MI:0004(affinity chromatography technology)","PRPF8 (interacts-with) SF3A3","taxid:4932(Saccharomyces cerevisiae (Baker's yeast))","Malinov?? A (2017)","false","interacts-with","PRPF8 (interacts-with) SF3A3","biogrid"
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) SRGAP2",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) SRGAP2","biogrid"
"pubmed:17353931","0.63","interacts-with","MI:0006(anti bait coimmunoprecipitation)","HLA-C (interacts-with) HLA-B",,"Ewing RM (2007)","false","interacts-with","HLA-C (interacts-with) HLA-B","MI:0469(intact)|i2d"
"pubmed:32807901","0.63","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) SLC7A1",,"Liu J (2020)","false","interacts-with","TP53 (interacts-with) SLC7A1",
"-","0.0","interacts-with","-","FGFR3 (interacts-with) KRAS",,,"false","interacts-with","FGFR3 (interacts-with) KRAS","MI:1014(string)"
"pubmed:21952639|pubmed:27114453","0.88","interacts-with","MI:0096(pull down)|MI:0047(far western blotting)|MI:0004(affinity chromatography technology)|MI:0678(antibody array)|MI:0007(anti tag coimmunoprecipitation)","UHRF2 (interacts-with) RB1",,"Mori T (2011)|Lai M (2016)","false","interacts-with","UHRF2 (interacts-with) RB1","biogrid|MI:0469(intact)"
"pubmed:29742433","0.63","interacts-with","MI:0004(affinity chromatography technology)","HAVCR1 (interacts-with) ACVR1B",,"Dejarnac O (2018)","false","interacts-with","HAVCR1 (interacts-with) ACVR1B","biogrid"
"pubmed:25416956","0.63","interacts-with","MI:0018(two hybrid)","INPP5D (interacts-with) NOTCH2NLA",,"Rolland T (2014)","false","interacts-with","INPP5D (interacts-with) NOTCH2NLA","biogrid|MI:0469(intact)"
"pubmed:12370315","0.73","interacts-with","MI:0493(in vivo)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)","MAML2 (interacts-with) NOTCH1",,"Wu L (2002)","false","interacts-with","MAML2 (interacts-with) NOTCH1","MI:0468(hprd)|biogrid|i2d|MI:1014(string)"
"pubmed:12370315|pubmed:23022380","0.88","interacts-with","MI:0493(in vivo)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)","MAML3 (interacts-with) NOTCH1",,"Wu L (2002)|Yatim A (2012)","false","interacts-with","MAML3 (interacts-with) NOTCH1","MI:0468(hprd)|biogrid|i2d|MI:0469(intact)"
"pubmed:11226752","0.7","interacts-with","MI:0018(two hybrid)","DTX2 (interacts-with) NOTCH1","taxid:10090(Mus musculus (Mouse))","Kishi N (2001)","false","interacts-with","DTX2 (interacts-with) NOTCH1","MI:0468(hprd)|i2d"
"pubmed:29395067","0.63","interacts-with","bioid","PABPC1 (interacts-with) SRRM2",,"Youn JY (2018)","false","interacts-with","PABPC1 (interacts-with) SRRM2",
"pubmed:29128334","0.63","interacts-with","MI:0004(affinity chromatography technology)","SDHA (interacts-with) MAP4K1",,"Malty RH (2017)","false","interacts-with","SDHA (interacts-with) MAP4K1","biogrid"
"pubmed:14681455","0.52","interacts-with","MI:0364(inferred by curator)","COL14A1 (interacts-with) COL14A1",,"Hermjakob H (2004)","false","interacts-with","COL14A1 (interacts-with) COL14A1","MI:0469(intact)"
"pubmed:16202977","0.52","interacts-with","MI:0492(in vitro)","DLGAP3 (interacts-with) PTK2B",,"Bongiorno-Borbone L (2005)","false","interacts-with","DLGAP3 (interacts-with) PTK2B","MI:0468(hprd)|i2d"
"pubmed:28514442|pubmed:33961781","0.82","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","ADAM21 (interacts-with) HLA-B",,"Huttlin EL (2017)|Huttlin EL (2021)","false","interacts-with","ADAM21 (interacts-with) HLA-B","biogrid"
"pubmed:30442766","0.63","interacts-with","bioid","NRAS (interacts-with) SPTAN1",,"Bigenzahn JW (2018)","false","interacts-with","NRAS (interacts-with) SPTAN1",
"pubmed:30442766","0.63","interacts-with","bioid","NRAS (interacts-with) SPTA1",,"Bigenzahn JW (2018)","false","interacts-with","NRAS (interacts-with) SPTA1",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","CRISP2 (interacts-with) PLXNA3",,"Huttlin EL (2021)","false","interacts-with","CRISP2 (interacts-with) PLXNA3",
"pubmed:31180492","0.63","interacts-with","MI:0004(affinity chromatography technology)","FANCD2 (interacts-with) SVIL",,"Pladevall-Morera D (2019)","false","interacts-with","FANCD2 (interacts-with) SVIL",
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","ZNF587 (interacts-with) HOXA1",,"Luck K (2020)","false","interacts-with","ZNF587 (interacts-with) HOXA1",
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) DAZAP1",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) DAZAP1","biogrid"
"pubmed:7588731|pubmed:22939624|pubmed:10543959|pubmed:21183720|pubmed:30382094","0.98","interacts-with","MI:0492(in vitro)|MI:0096(pull down)|MI:0069(mass spectrometry studies of complexes)|MI:0071(molecular sieving)|MI:0826(x ray scattering)","HSP90AB1 (interacts-with) HSP90AB1","taxid:6239(Caenorhabditis elegans)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))","Nemoto T (1995)|Taipale M (2012)|Weikl T (1999)|Karag??z GE (2010)|Oroz J (2018)","false","interacts-with","HSP90AB1 (interacts-with) HSP90AB1","MI:0468(hprd)|MI:0465(dip)|homomint|i2d|ortho|MI:0469(intact)|biogrid"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","CUL9 (interacts-with) ZNF845",,"Huttlin EL (2021)","false","interacts-with","CUL9 (interacts-with) ZNF845",
"pubmed:27576135","0.63","interacts-with","MI:0004(affinity chromatography technology)","GPC1 (interacts-with) FLNA",,"Kawahara R (2016)","false","interacts-with","GPC1 (interacts-with) FLNA",
"pubmed:27591049|pubmed:31067453","0.73","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) PLEC",,"Elliott PR (2016)|Douanne T (2019)","false","interacts-with","CYLD (interacts-with) PLEC","biogrid"
"pubmed:27649529","0.72","interacts-with","MI:0107(surface plasmon resonance)","HLA-B (interacts-with) LILRB2",,"Burian A (2016)","false","interacts-with","HLA-B (interacts-with) LILRB2","MI:0469(intact)"
"pubmed:26641092|pubmed:32296183","0.82","interacts-with","MI:0004(affinity chromatography technology)|MI:0018(two hybrid)","U2AF2 (interacts-with) FUBP1",,"Whisenant TC (2015)|Luck K (2020)","false","interacts-with","U2AF2 (interacts-with) FUBP1","biogrid"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","VRTN (interacts-with) SALL3",,"Huttlin EL (2021)","false","interacts-with","VRTN (interacts-with) SALL3",
"pubmed:26638075","0.63","interacts-with","bioid","TMEM216 (interacts-with) STT3B",,"Gupta GD (2015)","false","interacts-with","TMEM216 (interacts-with) STT3B","biogrid|MI:0469(intact)"
"pubmed:28514442","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","DCAF12 (interacts-with) ZZEF1",,"Huttlin EL (2017)","false","interacts-with","DCAF12 (interacts-with) ZZEF1","biogrid"
"pubmed:26496610","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","NUP153 (interacts-with) RGPD8",,"Hein MY (2015)","false","interacts-with","NUP153 (interacts-with) RGPD8","biogrid|MI:0469(intact)"
"pubmed:27649529","0.72","interacts-with","MI:0107(surface plasmon resonance)","HLA-A (interacts-with) LILRB2",,"Burian A (2016)","false","interacts-with","HLA-A (interacts-with) LILRB2","MI:0469(intact)"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","CYP21A2 (interacts-with) NOTCH2NLA",,"Luck K (2020)","false","interacts-with","CYP21A2 (interacts-with) NOTCH2NLA",
"pubmed:22939629","0.63","interacts-with","MI:0401(biochemical)","HNRNPL (interacts-with) PLEC",,"Havugimana PC (2012)","false","interacts-with","HNRNPL (interacts-with) PLEC","biogrid"
"pubmed:25144556|pubmed:32807901","0.73","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) HNRNPL",,"Horikawa I (2014)|Liu J (2020)","false","interacts-with","TP53 (interacts-with) HNRNPL","biogrid"
"pubmed:27591049|pubmed:31067453","0.73","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) CAD",,"Elliott PR (2016)|Douanne T (2019)","false","interacts-with","CYLD (interacts-with) CAD","biogrid"
"pubmed:34079125","0.63","interacts-with","bioid","EZR (interacts-with) JMY",,"Go CD (2021)","false","interacts-with","EZR (interacts-with) JMY",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","SCN4A (interacts-with) FZD8",,"Huttlin EL (2021)","false","interacts-with","SCN4A (interacts-with) FZD8",
"pubmed:26496610","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","RPL10 (interacts-with) TOP2B",,"Hein MY (2015)","false","interacts-with","RPL10 (interacts-with) TOP2B","biogrid|MI:0469(intact)"
"pubmed:25814554","0.63","interacts-with","MI:0018(two hybrid)","CHN2 (interacts-with) RB1",,"Grossmann A (2015)","false","interacts-with","CHN2 (interacts-with) RB1","MI:0469(intact)|biogrid"
"pubmed:18400180","0.72","interacts-with","MI:0114(x-ray crystallography)","F8 (interacts-with) F8",,"Ngo JC (2008)","false","interacts-with","F8 (interacts-with) F8","MI:0465(dip)|MI:0469(intact)"
"pubmed:11493697|pubmed:9560226|pubmed:11337490|pubmed:17192257|pubmed:9512511","0.8","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Biochemical Activity|MI:0415(enzymatic study)","PTK2B (interacts-with) PTK2B",,"Benzing T (2001)|Felsch JS (1998)|Lyons PD (2001)|Wissing J (2006)|Miyazaki T (1998)","false","interacts-with","PTK2B (interacts-with) PTK2B","MI:0468(hprd)|biogrid|i2d"
"pubmed:10926498|pubmed:8389242|pubmed:12070164","0.89","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)","APC (interacts-with) APC",,"Day CL (2000)|Su LK (1993)|Tickenbrock L (2002)","false","interacts-with","APC (interacts-with) APC","MI:0468(hprd)|biogrid|i2d"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","KRTAP1-5 (interacts-with) HOXA1",,"Luck K (2020)","false","interacts-with","KRTAP1-5 (interacts-with) HOXA1",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPCL1 (interacts-with) RBMXL1",,"Huttlin EL (2021)","false","interacts-with","HNRNPCL1 (interacts-with) RBMXL1",
"pubmed:19766566","0.52","interacts-with","MI:0428(imaging technique)","YWHAZ (interacts-with) BRD4",,"Zippo A (2009)","false","interacts-with","YWHAZ (interacts-with) BRD4","biogrid"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) YWHAZ",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) YWHAZ","biogrid"
"pubmed:17353931","0.63","interacts-with","MI:0006(anti bait coimmunoprecipitation)","HLA-A (interacts-with) HLA-B",,"Ewing RM (2007)","false","interacts-with","HLA-A (interacts-with) HLA-B","MI:0469(intact)|i2d"
"pubmed:11604231|pubmed:8175658|pubmed:22005517","0.88","interacts-with","Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0055(fluorescent resonance energy transfer)","IRS1 (interacts-with) KHDRBS1",,"S??nchez-Margalet V (2001)|Sung CK (1994)|Quintana-Portillo R (2011)","false","interacts-with","IRS1 (interacts-with) KHDRBS1","biogrid"
"pubmed:34079125","0.63","interacts-with","bioid","KRAS (interacts-with) INF2",,"Go CD (2021)","false","interacts-with","KRAS (interacts-with) INF2",
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","PHLDA1 (interacts-with) KRTAP5-1",,"Luck K (2020)","false","interacts-with","PHLDA1 (interacts-with) KRTAP5-1",
"pubmed:35140242","0.63","interacts-with","MI:0004(affinity chromatography technology)","TAL1 (interacts-with) UBR4",,"G????s H (2022)","false","interacts-with","TAL1 (interacts-with) UBR4",
"pubmed:30021884","0.72","interacts-with","MI:0030(cross-linking study)|bioid","SPTAN1 (interacts-with) SMC4",,"Fasci D (2018)","false","interacts-with","SPTAN1 (interacts-with) SMC4","MI:0469(intact)"
"pubmed:25416956|pubmed:32296183|pubmed:21653829","0.74","interacts-with","MI:0018(two hybrid)","HOXA1 (interacts-with) KRTAP4-11",,"Rolland T (2014)|Luck K (2020)|Sakai Y (2011)","false","interacts-with","HOXA1 (interacts-with) KRTAP4-11","biogrid|MI:0469(intact)"
"pubmed:22939629","0.63","interacts-with","MI:0401(biochemical)","HUWE1 (interacts-with) SNRNP200",,"Havugimana PC (2012)","false","interacts-with","HUWE1 (interacts-with) SNRNP200","biogrid"
"pubmed:32416067|pubmed:30554943","0.86","interacts-with","MI:0114(x-ray crystallography)|MI:0004(affinity chromatography technology)","BRD4 (interacts-with) BAZ1B",,"Shu S (2020)|Lambert JP (2018)","false","interacts-with","BRD4 (interacts-with) BAZ1B",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","HLA-DQA1 (interacts-with) PLXNA3",,"Huttlin EL (2021)","false","interacts-with","HLA-DQA1 (interacts-with) PLXNA3",
"pubmed:23022380","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)","NOTCH1 (interacts-with) VAV1",,"Yatim A (2012)","false","interacts-with","NOTCH1 (interacts-with) VAV1","biogrid|MI:0469(intact)"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","HOXA1 (interacts-with) KRTAP5-2",,"Luck K (2020)","false","interacts-with","HOXA1 (interacts-with) KRTAP5-2",
"pubmed:25416956|pubmed:32296183|pubmed:29892012","0.74","interacts-with","MI:0018(two hybrid)","KRT8 (interacts-with) KRT38",,"Rolland T (2014)|Luck K (2020)|Chen S (2018)","false","interacts-with","KRT8 (interacts-with) KRT38","biogrid|MI:0469(intact)"
