"interaction","LLS","name","selected","shared interaction","shared name"
"has functional association with","1.64861229837562","NFKBIA (has functional association with) CARD11","false","has functional association with","NFKBIA (has functional association with) CARD11"
"has functional association with","1.64210688075191","ADCY5 (has functional association with) AVPR2","false","has functional association with","ADCY5 (has functional association with) AVPR2"
"has functional association with","1.84714511541049","KRTAP10-2 (has functional association with) KRTAP4-5","false","has functional association with","KRTAP10-2 (has functional association with) KRTAP4-5"
"has functional association with","1.65939700040116","STX17 (has functional association with) BIRC6","false","has functional association with","STX17 (has functional association with) BIRC6"
"has functional association with","4.56358822339443","KRT6C (has functional association with) KRT6B","false","has functional association with","KRT6C (has functional association with) KRT6B"
"has functional association with","1.49569473157963","LILRA4 (has functional association with) HLA-DQA1","false","has functional association with","LILRA4 (has functional association with) HLA-DQA1"
"has functional association with","2.53998810117763","KRTAP5-7 (has functional association with) ADAMTSL3","false","has functional association with","KRTAP5-7 (has functional association with) ADAMTSL3"
"has functional association with","4.05591618476343","SPTA1 (has functional association with) SPTAN1","false","has functional association with","SPTA1 (has functional association with) SPTAN1"
"has functional association with","1.69583879314613","MAML2 (has functional association with) NCOR1","false","has functional association with","MAML2 (has functional association with) NCOR1"
"has functional association with","1.84714511541049","KRTAP9-6 (has functional association with) KRTAP4-6","false","has functional association with","KRTAP9-6 (has functional association with) KRTAP4-6"
"has functional association with","2.57325567488008","MLLT1 (has functional association with) CCNT1","false","has functional association with","MLLT1 (has functional association with) CCNT1"
"has functional association with","1.60570206416458","SIRPA (has functional association with) NRAS","false","has functional association with","SIRPA (has functional association with) NRAS"
"has functional association with","1.73316845715836","HLA-DQB2 (has functional association with) COL14A1","false","has functional association with","HLA-DQB2 (has functional association with) COL14A1"
"has functional association with","2.00949697870124","ASH1L (has functional association with) THAP7","false","has functional association with","ASH1L (has functional association with) THAP7"
"has functional association with","1.6388107619603","SCAF1 (has functional association with) RPL10","false","has functional association with","SCAF1 (has functional association with) RPL10"
"has functional association with","1.69179460170842","HUWE1 (has functional association with) PRSS1","false","has functional association with","HUWE1 (has functional association with) PRSS1"
"has functional association with","1.84714511541049","KRTAP5-5 (has functional association with) KRTAP5-7","false","has functional association with","KRTAP5-5 (has functional association with) KRTAP5-7"
"has functional association with","1.84714511541049","KRTAP5-10 (has functional association with) KRTAP4-6","false","has functional association with","KRTAP5-10 (has functional association with) KRTAP4-6"
"has functional association with","1.84714511541049","KRTAP5-1 (has functional association with) KRTAP4-11","false","has functional association with","KRTAP5-1 (has functional association with) KRTAP4-11"
"has functional association with","1.75097729989362","KRAS (has functional association with) MBOAT7","false","has functional association with","KRAS (has functional association with) MBOAT7"
"has functional association with","4.05579808751035","RARG (has functional association with) RXRB","false","has functional association with","RARG (has functional association with) RXRB"
"has functional association with","1.73176840255231","CHN2 (has functional association with) OBSCN","false","has functional association with","CHN2 (has functional association with) OBSCN"
"has functional association with","1.72308985849879","RGPD8 (has functional association with) NUP153","false","has functional association with","RGPD8 (has functional association with) NUP153"
"has functional association with","1.60568659864297","PABPC1 (has functional association with) ALG13","false","has functional association with","PABPC1 (has functional association with) ALG13"
"has functional association with","1.69037051907288","NOTCH1 (has functional association with) WDR11","false","has functional association with","NOTCH1 (has functional association with) WDR11"
"has functional association with","1.84714511541049","KRTAP5-4 (has functional association with) KRTAP5-7","false","has functional association with","KRTAP5-4 (has functional association with) KRTAP5-7"
"has functional association with","1.82934953942767","BPTF (has functional association with) PGR","false","has functional association with","BPTF (has functional association with) PGR"
"has functional association with","1.820452481589","ITGA2 (has functional association with) LAMA3","false","has functional association with","ITGA2 (has functional association with) LAMA3"
"has functional association with","1.71584570190502","KHDRBS1 (has functional association with) VAV1","false","has functional association with","KHDRBS1 (has functional association with) VAV1"
"has functional association with","1.86537980522844","SKA3 (has functional association with) TUBA3C","false","has functional association with","SKA3 (has functional association with) TUBA3C"
"has functional association with","1.67688591140765","FGFR3 (has functional association with) CDS2","false","has functional association with","FGFR3 (has functional association with) CDS2"
"has functional association with","1.67991101523213","TUBA3D (has functional association with) NFKBIA","false","has functional association with","TUBA3D (has functional association with) NFKBIA"
"has functional association with","2.8929940634797","RAB21 (has functional association with) KRAS","false","has functional association with","RAB21 (has functional association with) KRAS"
"has functional association with","1.58560588753236","SLC12A3 (has functional association with) MYLK3","false","has functional association with","SLC12A3 (has functional association with) MYLK3"
"has functional association with","1.75914687083776","PRRC2C (has functional association with) TNRC6A","false","has functional association with","PRRC2C (has functional association with) TNRC6A"
"has functional association with","3.76058795853785","MAGEA12 (has functional association with) TRO","false","has functional association with","MAGEA12 (has functional association with) TRO"
"has functional association with","1.72307800557284","KLHL2 (has functional association with) RRBP1","false","has functional association with","KLHL2 (has functional association with) RRBP1"
"has functional association with","1.84714511541049","KRTAP5-7 (has functional association with) KRTAP1-5","false","has functional association with","KRTAP5-7 (has functional association with) KRTAP1-5"
"has functional association with","2.09377815925867","DENND4A (has functional association with) YWHAZ","false","has functional association with","DENND4A (has functional association with) YWHAZ"
"has functional association with","2.59829576418085","ABCA7 (has functional association with) COX10","false","has functional association with","ABCA7 (has functional association with) COX10"
"has functional association with","1.64206364472619","SPTAN1 (has functional association with) VCL","false","has functional association with","SPTAN1 (has functional association with) VCL"
"has functional association with","2.69942552585709","GRIN2D (has functional association with) NOS1","false","has functional association with","GRIN2D (has functional association with) NOS1"
"has functional association with","1.7675328720177","KRTAP9-6 (has functional association with) PPIAL4G","false","has functional association with","KRTAP9-6 (has functional association with) PPIAL4G"
"has functional association with","2.23592147796957","LCE1E (has functional association with) KRTAP5-2","false","has functional association with","LCE1E (has functional association with) KRTAP5-2"
"has functional association with","2.189441899603","U2AF2 (has functional association with) FUBP1","false","has functional association with","U2AF2 (has functional association with) FUBP1"
"has functional association with","1.9323722574953","KRT5 (has functional association with) LAMC2","false","has functional association with","KRT5 (has functional association with) LAMC2"
"has functional association with","1.56472446292438","HNRNPL (has functional association with) KMT2C","false","has functional association with","HNRNPL (has functional association with) KMT2C"
"has functional association with","4.29996633138836","KRT5 (has functional association with) KRT6B","false","has functional association with","KRT5 (has functional association with) KRT6B"
"has functional association with","1.52547725578342","IRS1 (has functional association with) NRAS","false","has functional association with","IRS1 (has functional association with) NRAS"
"has functional association with","1.65171866231257","AP2M1 (has functional association with) MAP4","false","has functional association with","AP2M1 (has functional association with) MAP4"
"has functional association with","1.55820079775823","EP400 (has functional association with) TNRC18","false","has functional association with","EP400 (has functional association with) TNRC18"
"has functional association with","1.82918769772903","SNRNP200 (has functional association with) SPTAN1","false","has functional association with","SNRNP200 (has functional association with) SPTAN1"
"has functional association with","1.75902193998257","LCE1E (has functional association with) RFPL4AL1","false","has functional association with","LCE1E (has functional association with) RFPL4AL1"
"has functional association with","2.15995713104361","HUWE1 (has functional association with) HLA-A","false","has functional association with","HUWE1 (has functional association with) HLA-A"
"has functional association with","3.49341317979745","ADCY5 (has functional association with) TRAF2","false","has functional association with","ADCY5 (has functional association with) TRAF2"
"has functional association with","1.63353570067933","KLHL34 (has functional association with) HSP90AB1","false","has functional association with","KLHL34 (has functional association with) HSP90AB1"
"has functional association with","1.61856828240271","MECOM (has functional association with) MYO1C","false","has functional association with","MECOM (has functional association with) MYO1C"
"has functional association with","2.94563757739294","MYH7 (has functional association with) RYR2","false","has functional association with","MYH7 (has functional association with) RYR2"
"has functional association with","2.43571639400839","GSN (has functional association with) PLEC","false","has functional association with","GSN (has functional association with) PLEC"
"has functional association with","1.69580980494273","ZFP62 (has functional association with) PRKRA","false","has functional association with","ZFP62 (has functional association with) PRKRA"
"has functional association with","1.59598197169065","CYLD (has functional association with) FLNA","false","has functional association with","CYLD (has functional association with) FLNA"
"has functional association with","1.68583250815872","TAL1 (has functional association with) TRRAP","false","has functional association with","TAL1 (has functional association with) TRRAP"
"has functional association with","1.84714511541049","KRTAP5-4 (has functional association with) KRTAP1-5","false","has functional association with","KRTAP5-4 (has functional association with) KRTAP1-5"
"has functional association with","1.49561443811955","GBP7 (has functional association with) LPA","false","has functional association with","GBP7 (has functional association with) LPA"
"has functional association with","1.49338196406611","ABCA3 (has functional association with) DIS3","false","has functional association with","ABCA3 (has functional association with) DIS3"
"has functional association with","3.82376291613714","MRPS18C (has functional association with) MRPL36","false","has functional association with","MRPS18C (has functional association with) MRPL36"
"has functional association with","1.65936580366075","ZNF721 (has functional association with) PPIAL4G","false","has functional association with","ZNF721 (has functional association with) PPIAL4G"
"has functional association with","1.88413152505405","ABCA3 (has functional association with) FASN","false","has functional association with","ABCA3 (has functional association with) FASN"
"has functional association with","1.84714511541049","KRTAP9-6 (has functional association with) KRTAP4-11","false","has functional association with","KRTAP9-6 (has functional association with) KRTAP4-11"
"has functional association with","1.67988603314868","KRT6C (has functional association with) HERC2","false","has functional association with","KRT6C (has functional association with) HERC2"
"has functional association with","1.76745417110743","MAX (has functional association with) MRPL36","false","has functional association with","MAX (has functional association with) MRPL36"
"has functional association with","3.97218894037443","ZNF721 (has functional association with) ZNF354A","false","has functional association with","ZNF721 (has functional association with) ZNF354A"
"has functional association with","3.97218894037443","ZNF354B (has functional association with) ZNF721","false","has functional association with","ZNF354B (has functional association with) ZNF721"
"has functional association with","2.37587706794631","NFKBIA (has functional association with) TCL1A","false","has functional association with","NFKBIA (has functional association with) TCL1A"
"has functional association with","1.84714511541049","KRTAP9-6 (has functional association with) KRTAP10-2","false","has functional association with","KRTAP9-6 (has functional association with) KRTAP10-2"
"has functional association with","3.76058795853785","MAGEA12 (has functional association with) MAGEC1","false","has functional association with","MAGEA12 (has functional association with) MAGEC1"
"has functional association with","3.76058795853785","MAGEE2 (has functional association with) MAGEA12","false","has functional association with","MAGEE2 (has functional association with) MAGEA12"
"has functional association with","1.55472349944873","PABPC1 (has functional association with) IRS1","false","has functional association with","PABPC1 (has functional association with) IRS1"
"has functional association with","1.65171052881138","GPC1 (has functional association with) HLA-A","false","has functional association with","GPC1 (has functional association with) HLA-A"
"has functional association with","1.56133634703876","PTK2B (has functional association with) HSP90AB1","false","has functional association with","PTK2B (has functional association with) HSP90AB1"
"has functional association with","2.51351185852882","PLXND1 (has functional association with) NOTCH1","false","has functional association with","PLXND1 (has functional association with) NOTCH1"
"has functional association with","1.60329124774023","ADCY5 (has functional association with) C3","false","has functional association with","ADCY5 (has functional association with) C3"
"has functional association with","2.18911556520967","ZZEF1 (has functional association with) DCAF12","false","has functional association with","ZZEF1 (has functional association with) DCAF12"
"has functional association with","1.73174304582309","NF1 (has functional association with) DENND1A","false","has functional association with","NF1 (has functional association with) DENND1A"
"has functional association with","1.84714511541049","KRTAP5-10 (has functional association with) KRTAP4-5","false","has functional association with","KRTAP5-10 (has functional association with) KRTAP4-5"
"has functional association with","2.89227819366298","ABCA3 (has functional association with) SFTPA1","false","has functional association with","ABCA3 (has functional association with) SFTPA1"
"has functional association with","1.84714511541049","KRTAP5-4 (has functional association with) KRTAP9-9","false","has functional association with","KRTAP5-4 (has functional association with) KRTAP9-9"
"has functional association with","1.8552963839258","ANAPC1 (has functional association with) POTEF","false","has functional association with","ANAPC1 (has functional association with) POTEF"
"has functional association with","1.71001478125447","GCN1 (has functional association with) TPTE2","false","has functional association with","GCN1 (has functional association with) TPTE2"
"has functional association with","2.50013123402291","ELN (has functional association with) COL14A1","false","has functional association with","ELN (has functional association with) COL14A1"
"has functional association with","2.47454534568004","F8 (has functional association with) ZFHX3","false","has functional association with","F8 (has functional association with) ZFHX3"
"has functional association with","3.7602897253479","MAX (has functional association with) EPC1","false","has functional association with","MAX (has functional association with) EPC1"
"has functional association with","5.11312164730277","PLXNA1 (has functional association with) PLXNA3","false","has functional association with","PLXNA1 (has functional association with) PLXNA3"
"has functional association with","1.60561303857607","TAF1L (has functional association with) TAF1A","false","has functional association with","TAF1L (has functional association with) TAF1A"
"has functional association with","1.84714511541049","KRTAP5-1 (has functional association with) KRTAP5-4","false","has functional association with","KRTAP5-1 (has functional association with) KRTAP5-4"
"has functional association with","2.48752459044864","HSP90AB1 (has functional association with) BRAF","false","has functional association with","HSP90AB1 (has functional association with) BRAF"
"has functional association with","1.79229567417024","CUL9 (has functional association with) PTPRN2","false","has functional association with","CUL9 (has functional association with) PTPRN2"
"has functional association with","1.60326509373949","HNRNPL (has functional association with) WDR11","false","has functional association with","HNRNPL (has functional association with) WDR11"
"has functional association with","3.2512526722057","CACNA1A (has functional association with) ARHGEF5","false","has functional association with","CACNA1A (has functional association with) ARHGEF5"
"has functional association with","1.52542156564335","KRT8 (has functional association with) YWHAZ","false","has functional association with","KRT8 (has functional association with) YWHAZ"
"has functional association with","1.59352076161934","HLA-C (has functional association with) TUBB8","false","has functional association with","HLA-C (has functional association with) TUBB8"
"has functional association with","3.02340896073969","IGLL5 (has functional association with) HLA-DQA2","false","has functional association with","IGLL5 (has functional association with) HLA-DQA2"
"has functional association with","2.03225423199052","PAK2 (has functional association with) BRAF","false","has functional association with","PAK2 (has functional association with) BRAF"
"has functional association with","1.81072588798988","SRGAP2 (has functional association with) ARHGAP31","false","has functional association with","SRGAP2 (has functional association with) ARHGAP31"
"has functional association with","3.49235708927627","ATP12A (has functional association with) ATP2B3","false","has functional association with","ATP12A (has functional association with) ATP2B3"
"has functional association with","3.02340896073969","IGLL5 (has functional association with) HLA-DQA1","false","has functional association with","IGLL5 (has functional association with) HLA-DQA1"
"has functional association with","1.53300660899058","DCAF12 (has functional association with) WDFY4","false","has functional association with","DCAF12 (has functional association with) WDFY4"
"has functional association with","1.55112616737606","SNRNP200 (has functional association with) APC","false","has functional association with","SNRNP200 (has functional association with) APC"
"has functional association with","1.49964709911116","FLNA (has functional association with) HERC2","false","has functional association with","FLNA (has functional association with) HERC2"
"has functional association with","1.57989433144726","SLC25A5 (has functional association with) EZR","false","has functional association with","SLC25A5 (has functional association with) EZR"
"has functional association with","2.9448082621545","FOXR2 (has functional association with) MAX","false","has functional association with","FOXR2 (has functional association with) MAX"
"has functional association with","4.29758295461385","RIMBP3C (has functional association with) RIMBP3","false","has functional association with","RIMBP3C (has functional association with) RIMBP3"
"has functional association with","1.54011126575867","PRPF8 (has functional association with) FASN","false","has functional association with","PRPF8 (has functional association with) FASN"
"has functional association with","4.29758295461385","RIMBP3C (has functional association with) RIMBP3B","false","has functional association with","RIMBP3C (has functional association with) RIMBP3B"
"has functional association with","4.29758295461385","RIMBP3B (has functional association with) RIMBP3","false","has functional association with","RIMBP3B (has functional association with) RIMBP3"
"has functional association with","2.15976806898978","NEB (has functional association with) STRADB","false","has functional association with","NEB (has functional association with) STRADB"
"has functional association with","1.84714511541049","KRTAP5-5 (has functional association with) KRTAP4-11","false","has functional association with","KRTAP5-5 (has functional association with) KRTAP4-11"
"has functional association with","2.1071029360309","KRTAP10-8 (has functional association with) KRTAP5-4","false","has functional association with","KRTAP10-8 (has functional association with) KRTAP5-4"
"has functional association with","1.84714511541049","KRTAP5-10 (has functional association with) KRTAP4-11","false","has functional association with","KRTAP5-10 (has functional association with) KRTAP4-11"
"has functional association with","1.70858316432767","RAB21 (has functional association with) SDHA","false","has functional association with","RAB21 (has functional association with) SDHA"
"has functional association with","1.58265789815072","DIS3 (has functional association with) CAD","false","has functional association with","DIS3 (has functional association with) CAD"
"has functional association with","1.55111521239883","HRNR (has functional association with) FLG2","false","has functional association with","HRNR (has functional association with) FLG2"
"has functional association with","4.89321533346222","LILRB2 (has functional association with) LILRA1","false","has functional association with","LILRB2 (has functional association with) LILRA1"
"has functional association with","1.62620765449348","PPP1R13B (has functional association with) APC","false","has functional association with","PPP1R13B (has functional association with) APC"
"has functional association with","4.55518729664535","HLA-A (has functional association with) KIR3DL2","false","has functional association with","HLA-A (has functional association with) KIR3DL2"
"has functional association with","1.94227225962975","UHRF2 (has functional association with) RB1","false","has functional association with","UHRF2 (has functional association with) RB1"
"has functional association with","2.50013123402291","COL5A1 (has functional association with) COL14A1","false","has functional association with","COL5A1 (has functional association with) COL14A1"
"has functional association with","1.83864571693248","HNRNPL (has functional association with) POTEF","false","has functional association with","HNRNPL (has functional association with) POTEF"
"has functional association with","4.21551859267219","FRG2C (has functional association with) FRG2B","false","has functional association with","FRG2C (has functional association with) FRG2B"
"has functional association with","1.73020833106567","HLA-DQA1 (has functional association with) CTSF","false","has functional association with","HLA-DQA1 (has functional association with) CTSF"
"has functional association with","2.06813307269828","KRAS (has functional association with) PTK7","false","has functional association with","KRAS (has functional association with) PTK7"
"has functional association with","1.63872567808584","TAS2R31 (has functional association with) C3","false","has functional association with","TAS2R31 (has functional association with) C3"
"has functional association with","2.23573806358065","PLEC (has functional association with) MYO18B","false","has functional association with","PLEC (has functional association with) MYO18B"
"has functional association with","1.96354069284914","HLA-B (has functional association with) UBC","false","has functional association with","HLA-B (has functional association with) UBC"
"has functional association with","1.8648986822207","VCL (has functional association with) GKAP1","false","has functional association with","VCL (has functional association with) GKAP1"
"has functional association with","3.44420390406056","EGR1 (has functional association with) TP53","false","has functional association with","EGR1 (has functional association with) TP53"
"has functional association with","1.73019929328893","HLA-DQA2 (has functional association with) HLA-DQB2","false","has functional association with","HLA-DQA2 (has functional association with) HLA-DQB2"
"has functional association with","2.55602389336884","BRAF (has functional association with) TRAF2","false","has functional association with","BRAF (has functional association with) TRAF2"
"has functional association with","2.48729482377875","NOS1 (has functional association with) ATP2B2","false","has functional association with","NOS1 (has functional association with) ATP2B2"
"has functional association with","2.20333873606906","KIF26B (has functional association with) STARD9","false","has functional association with","KIF26B (has functional association with) STARD9"
"has functional association with","2.48729482377875","NOS1 (has functional association with) ATP2B3","false","has functional association with","NOS1 (has functional association with) ATP2B3"
"has functional association with","1.71863256179061","INF2 (has functional association with) USP34","false","has functional association with","INF2 (has functional association with) USP34"
"has functional association with","1.49333909217142","LAMC2 (has functional association with) CARD11","false","has functional association with","LAMC2 (has functional association with) CARD11"
"has functional association with","1.65323544717436","PRPF8 (has functional association with) DUSP2","false","has functional association with","PRPF8 (has functional association with) DUSP2"
"has functional association with","1.84714511541049","KRTAP4-11 (has functional association with) KRTAP4-6","false","has functional association with","KRTAP4-11 (has functional association with) KRTAP4-6"
"has functional association with","1.84714511541049","KRTAP5-7 (has functional association with) KRTAP4-6","false","has functional association with","KRTAP5-7 (has functional association with) KRTAP4-6"
"has functional association with","1.63871397477783","MECOM (has functional association with) TTN","false","has functional association with","MECOM (has functional association with) TTN"
"has functional association with","1.63701973642344","CYLD (has functional association with) LCN1","false","has functional association with","CYLD (has functional association with) LCN1"
"has functional association with","1.49554207509084","ABCA3 (has functional association with) KRT8","false","has functional association with","ABCA3 (has functional association with) KRT8"
"has functional association with","1.49958366476891","FANCD2 (has functional association with) SLC25A5","false","has functional association with","FANCD2 (has functional association with) SLC25A5"
"has functional association with","1.82000879972596","OR13C2 (has functional association with) POTEE","false","has functional association with","OR13C2 (has functional association with) POTEE"
"has functional association with","1.7114467180063","PRPF8 (has functional association with) ZGPAT","false","has functional association with","PRPF8 (has functional association with) ZGPAT"
"has functional association with","1.84714511541049","KRTAP10-2 (has functional association with) KRTAP5-7","false","has functional association with","KRTAP10-2 (has functional association with) KRTAP5-7"
"has functional association with","3.35714294832487","STT3B (has functional association with) ALG13","false","has functional association with","STT3B (has functional association with) ALG13"
"has functional association with","1.66233287068126","BRD4 (has functional association with) IRF2BPL","false","has functional association with","BRD4 (has functional association with) IRF2BPL"
"has functional association with","1.56123868620866","CYLD (has functional association with) UBR4","false","has functional association with","CYLD (has functional association with) UBR4"
"has functional association with","1.61004844117701","SPTA1 (has functional association with) TAL1","false","has functional association with","SPTA1 (has functional association with) TAL1"
"has functional association with","4.13280803095999","TTN (has functional association with) OBSCN","false","has functional association with","TTN (has functional association with) OBSCN"
"has functional association with","1.84714511541049","KRTAP10-2 (has functional association with) KRTAP5-10","false","has functional association with","KRTAP10-2 (has functional association with) KRTAP5-10"
"has functional association with","1.56778055223688","CYLD (has functional association with) FLNC","false","has functional association with","CYLD (has functional association with) FLNC"
"has functional association with","1.72007290579285","HOXA1 (has functional association with) KRTAP5-4","false","has functional association with","HOXA1 (has functional association with) KRTAP5-4"
