citation,Confidence Value,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Experimental System,Experimental System Type,FBS_max,Integrated score,interaction,Interaction Detection Methods,LLS,Modification,name,PFC,Phenotypes,Presence In Other Species,Publication 1st Author,Qualifications,Score,selected,shared interaction,shared name,Source Databases,Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,SCN4A (interacts-with) FZD8,,,,Huttlin EL (2021),"BioPlex 3.0 HEK 293T cells CompPASS score = 0.904212448, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.904212448|0.904212447709344,false,interacts-with,SCN4A (interacts-with) FZD8,,High Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,SCN4A (interacts-with) XIRP1,,,,Huttlin EL (2021),"BioPlex 3.0 HEK 293T cells CompPASS score = 0.999992871, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999992871,false,interacts-with,SCN4A (interacts-with) XIRP1,,High Throughput
pubmed:16522193,,,,,,,,Biochemical Activity,physical,,,interacts-with,,,Ubiquitination,Zswim2 (interacts-with) UBC,,,,,"E2: UbcH5a, UbcH5c, UbcH6|Figure 4|autoubiquitination",,false,interacts-with,Zswim2 (interacts-with) UBC,,Low Throughput
pubmed:30021884,,,,,,,,Proximity Label-MS,physical,,,interacts-with,,,,BIRC6 (interacts-with) RRBP1,,,,,interaction identified using XL-MS (cross-linking mass spectrometry): unfractionated cells or TX100-soluble fractions from cells were treated with cross-linker and cross-linked proteins were identified by mass-spectrometry; interaction is undirectional; therefore bait and prey/hit have been assigned arbitrarily; interactions with FDRs (false discovery rates) of 1% or less were reported; this interaction was not detected in a parallel experiment using TX100-insoluble fractions,,false,interacts-with,BIRC6 (interacts-with) RRBP1,,High Throughput
pubmed:15200957,0.7,,,,,,,Affinity Capture-Western,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,BIRC6 (interacts-with) BIRC6,,,taxid:10090(Mus musculus (Mouse)),Bartke T (2004),"Incubated with E1, UbcH5c, and ubiquitin",,false,interacts-with,BIRC6 (interacts-with) BIRC6,biogrid,Low Throughput
pubmed:29426817|pubmed:34354038,0.73,,,,,,,Affinity Capture-Western,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,BIRC6 (interacts-with) STX17,,,,Ebner P (2018)|Zhang L (2021),,,false,interacts-with,BIRC6 (interacts-with) STX17,,Low Throughput
pubmed:23414517,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,BIRC6 (interacts-with) VCL,,,,,,,false,interacts-with,BIRC6 (interacts-with) VCL,,High Throughput
pubmed:35271311,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) RPS27A,,,,,Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins,,false,interacts-with,UBC (interacts-with) RPS27A,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) DNAH7,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) DNAH7,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) MAP4,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) MAP4,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) NBPF9,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) NBPF9,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) NBPF1,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) NBPF1,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) NBPF10,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) NBPF10,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) NBPF14,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) NBPF14,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) PRR23B,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) PRR23B,,High Throughput
pubmed:23314748|pubmed:27182664,,,,,,,,Reconstituted Complex|Proximity Label-MS,physical,,,interacts-with,,,,UBC (interacts-with) SYNE2,,,,,"#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS|possible transthiolation such that a modified ubiquitin (bait) is conjugated to the hit proteins indicated in vivo, followed by identification by BioID",,false,interacts-with,UBC (interacts-with) SYNE2,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) HYDIN,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) HYDIN,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) UNC79,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) UNC79,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) TUBA3C,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) TUBA3C,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) TUBA3D,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) TUBA3D,,High Throughput
pubmed:23314748|pubmed:17550899|pubmed:25147182|pubmed:25723849|pubmed:28190767|pubmed:28943312|pubmed:31699778,,,,,,,,Reconstituted Complex|Affinity Capture-MS|Biochemical Activity,physical,,,interacts-with,,,Ubiquitination,UBC (interacts-with) HUWE1,,HeLa cell,,,"#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS|bait is an HA-tagged Lys-6-linked polyubiquitin chain, in which all lysine residues except Lys-6 are mutated to arginine|Polyubiquitin chain assembly in vitro.|The separate reactions contained E1, different E2s and HECT E3s.|Chemically synthesized diubiquitin|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS)|HUWE1 functioned as an E3 to assemble poly-ubiquitin chains, including K11- and K33-linked chains, in vitro. The reaction included UBE1(UBA1) as E1 and possibly UBE2L3 as E2.",,false,interacts-with,UBC (interacts-with) HUWE1,,High Throughput|Low Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) HRNR,,,,,#LPPI|Likely protein-protein interaction|binds K48-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) HRNR,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) ANAPC1,,,,,#LPPI|Likely protein-protein interaction|binds K63-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) ANAPC1,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) MUC16,,,,,#LPPI|Likely protein-protein interaction|binds K63-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) MUC16,,High Throughput
pubmed:23314748,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) OTOG,,,,,#LPPI|Likely protein-protein interaction|binds K63-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) OTOG,,High Throughput
pubmed:22855611|pubmed:21464321|pubmed:29463306|pubmed:31180492,,,,,,,,Reconstituted Complex|Affinity Capture-Western|Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) FANCD2,,,,,#LPPI|Likely protein-protein interaction|Likely ubiquitin conjugation|hit proteins associated with FANCD2 and were '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' but were not '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...',,false,interacts-with,UBC (interacts-with) FANCD2,,Low Throughput|High Throughput
pubmed:27182664,,,,,,,,Proximity Label-MS,physical,,,interacts-with,,,,UBC (interacts-with) LDHB,,,,,"possible transthiolation such that a modified ubiquitin (bait) is conjugated to the hit proteins indicated in vivo, followed by identification by BioID",,false,interacts-with,UBC (interacts-with) LDHB,,High Throughput
pubmed:27182664,,,,,,,,Proximity Label-MS,physical,,,interacts-with,,,,UBC (interacts-with) FASN,,,,,"possible transthiolation such that a modified ubiquitin (bait) is conjugated to the hit proteins indicated in vivo, followed by identification by BioID",,false,interacts-with,UBC (interacts-with) FASN,,High Throughput
pubmed:23801757,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) GCN1,,,,,#LPPI|Likely protein-protein interaction,,false,interacts-with,UBC (interacts-with) GCN1,,High Throughput
pubmed:17550899,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) HSP90AB1,,,,,"#LPPI|Likely protein-protein interaction|bait is an HA-tagged Lys-6-linked polyubiquitin chain, in which all lysine residues except Lys-6 are mutated to arginine",,false,interacts-with,UBC (interacts-with) HSP90AB1,,High Throughput
pubmed:23801757,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) TAL1,,,,,#LPPI|Likely protein-protein interaction,,false,interacts-with,UBC (interacts-with) TAL1,,High Throughput
pubmed:23801757,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) RPL10,,,,,#LPPI|Likely protein-protein interaction,,false,interacts-with,UBC (interacts-with) RPL10,,High Throughput
pubmed:29576527,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) USP6,,,,,#LPPI|ubiquitin suicide probe pull down to identify DUBs,,false,interacts-with,UBC (interacts-with) USP6,,Low Throughput
pubmed:29576527,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) USP34,,,,,#LPPI|ubiquitin suicide probe pull down to identify DUBs,,false,interacts-with,UBC (interacts-with) USP34,,Low Throughput
pubmed:22508508|pubmed:28190767,,,,,,,,Affinity Capture-Western|Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) HERC2,,HeLa cell,,,#LPPI|Likely protein-protein interaction|Chemically synthesized diubiquitin|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) HERC2,,Low Throughput|High Throughput
pubmed:33141564,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) EPPK1,,,,,#LPPI|Bait is a photoactivated UBC-probe that traps hits|Likely protein-protein interaction,,false,interacts-with,UBC (interacts-with) EPPK1,,High Throughput
pubmed:33141564,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) PABPC1,,,,,#LPPI|Bait is a photoactivated UBC-probe that traps hits|Likely protein-protein interaction,,false,interacts-with,UBC (interacts-with) PABPC1,,High Throughput
pubmed:20068069,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) CLU,,,,,#LPPI|Likely protein-protein interaction,,false,interacts-with,UBC (interacts-with) CLU,,Low Throughput
pubmed:23287719|pubmed:8107144|pubmed:24912152|pubmed:17550899|pubmed:25752577|pubmed:29111344|pubmed:27182664,,,,,,,,Protein-peptide|Co-crystal Structure|Reconstituted Complex|Affinity Capture-MS|Proximity Label-MS,physical,,,interacts-with,,,,UBC (interacts-with) UBC,,,,,"#LPPI|Likely protein-protein interaction|Figure 3|Physical contacts between individual ubiquitin polypeptides in tetraubiquitin were evident|tetraubiquitin|Fig.3. Interaction between covalently attached donor ubiquitin loop (Y59-E51) and the E2 loop help position the donor ubiquitin so that the acceptor ubiquitin (not yet covalently attached) can line up properly and receive the donor ubiquitin and position K48.|bait is an HA-tagged Lys-6-linked polyubiquitin chain, in which all lysine residues except Lys-6 are mutated to arginine|Lys33-linked diUbiquitin|Ubiquitin chains|possible transthiolation such that a modified ubiquitin (bait) is conjugated to the hit proteins indicated in vivo, followed by identification by BioID",,false,interacts-with,UBC (interacts-with) UBC,,Low Throughput|High Throughput
pubmed:28190767,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) NFX1,,HeLa cell,,,#LPPI|Chemically synthesized diubiquitin|Likely protein-protein interaction|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) NFX1,,High Throughput
pubmed:28190767,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) MBOAT7,,HeLa cell,,,#LPPI|Chemically synthesized diubiquitin|Likely protein-protein interaction|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) MBOAT7,,High Throughput
pubmed:16196087|pubmed:23314748|pubmed:17550899,,,,,,,,Affinity Capture-MS|Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) UBR4,,,,,"#LPPI|Likely protein-protein interaction|native only|binds K63-linked poly-ubiquitin chains in vitro|identified by MS|bait is an HA-tagged Lys-6-linked polyubiquitin chain, in which all lysine residues except Lys-6 are mutated to arginine",,false,interacts-with,UBC (interacts-with) UBR4,,High Throughput
pubmed:16196087|pubmed:23314748,,,,,,,,Affinity Capture-MS|Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) TNRC6A,,,,,#LPPI|Likely protein-protein interaction|native only|binds K63-linked poly-ubiquitin chains in vitro|identified by MS,,false,interacts-with,UBC (interacts-with) TNRC6A,,High Throughput
pubmed:28190767,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) PLEC,,HeLa cell,,,#LPPI|Chemically synthesized diubiquitin|Likely protein-protein interaction|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) PLEC,,High Throughput
pubmed:16196087|pubmed:32416094,,,,,,,,Affinity Capture-MS|Biochemical Activity,physical,,,interacts-with,,,Ubiquitination,UBC (interacts-with) RLIM,,,,,#LPPI|Likely protein-protein interaction|native only|RNF12 can build ubiquitin chains in vitro,,false,interacts-with,UBC (interacts-with) RLIM,,High Throughput|Low Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) HNRNPL,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) HNRNPL,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) TRO,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) TRO,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) HADHB,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) HADHB,,High Throughput
pubmed:28190767,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) KHDRBS1,,HeLa cell,,,#LPPI|Chemically synthesized diubiquitin|Likely protein-protein interaction|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) KHDRBS1,,High Throughput
pubmed:17630509,,,,,,,,Affinity Capture-Western,physical,,,interacts-with,,,,UBC (interacts-with) E2F1,,,,,#LPPI|Likely protein-protein interaction,,false,interacts-with,UBC (interacts-with) E2F1,,Low Throughput
pubmed:28190767,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) PCMTD1,,HeLa cell,,,#LPPI|Chemically synthesized diubiquitin|Likely protein-protein interaction|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) PCMTD1,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) RNF213,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) RNF213,,High Throughput
pubmed:28190767,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) HERC1,,HeLa cell,,,#LPPI|Chemically synthesized diubiquitin|Likely protein-protein interaction|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) HERC1,,High Throughput
pubmed:16196087|pubmed:31699778,,,,,,,,Affinity Capture-MS|Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) ANKIB1,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) ANKIB1,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) APC,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) APC,,High Throughput
pubmed:16196087|pubmed:27182664,,,,,,,,Affinity Capture-MS|Proximity Label-MS,physical,,,interacts-with,,,,UBC (interacts-with) BIRC6,,,,,"#LPPI|Likely protein-protein interaction|native only|possible transthiolation such that a modified ubiquitin (bait) is conjugated to the hit proteins indicated in vivo, followed by identification by BioID",,false,interacts-with,UBC (interacts-with) BIRC6,,High Throughput
pubmed:28190767|pubmed:31699778,,,,,,,,Reconstituted Complex,physical,,,interacts-with,,,,UBC (interacts-with) CUEDC1,,HeLa cell,,,#LPPI|Chemically synthesized diubiquitin|Likely protein-protein interaction|Ubiquitin interactor affinity enrichment-mass spectrometry (UbIA-MS),,false,interacts-with,UBC (interacts-with) CUEDC1,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) CSNK2A1,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) CSNK2A1,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) HLA-A,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) HLA-A,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) HLA-C,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) HLA-C,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) FRY,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) FRY,,High Throughput
pubmed:16196087,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,UBC (interacts-with) SDHA,,,,,#LPPI|Likely protein-protein interaction|native only,,false,interacts-with,UBC (interacts-with) SDHA,,High Throughput
pubmed:16631741,0.63,,,,,,,Two-hybrid,physical,,,interacts-with,MI:0018(two hybrid),,,XIRP1 (interacts-with) ENAH,,,,van der Ven PF (2006),Figure 4,,false,interacts-with,XIRP1 (interacts-with) ENAH,biogrid,Low Throughput
pubmed:16631741|pubmed:23115302,0.85,,,,,,,Reconstituted Complex|Two-hybrid|Far Western,physical,,,interacts-with,MI:0018(two hybrid)|MI:0047(far western blotting)|MI:0416(fluorescence microscopy)|MI:0096(pull down),,,XIRP1 (interacts-with) FLNC,,,,van der Ven PF (2006)|Kley RA (2012),Figure 5|Figure 1,,false,interacts-with,XIRP1 (interacts-with) FLNC,MI:0469(intact)|biogrid,Low Throughput
pubmed:23985323,0.68,,,,,,,Two-hybrid|Reconstituted Complex,physical,,,interacts-with,MI:0018(two hybrid)|MI:0096(pull down),,,XIRP1 (interacts-with) NEB,,,,Eulitz S (2013),Figure 2|Figure 3,,false,interacts-with,XIRP1 (interacts-with) NEB,biogrid,Low Throughput
